date|time|description|vendor|amount
2025-01-17|10:25:35|marketing ads|Meta Ads|-410.0
2025-03-08|15:44:10|software sale|Online Store|620.0
2025-06-19|12:18:05|electric bill|PG&E|-134.6
2026-04-27|16:30:41|vendor reimbursement|Target|95.0
2026-04-27|16:33:10|client retainer|Silverline Agency|2500.0
2026-03-21|15:18:40|website redesign payment|Summit Tech|1500.0
2026-03-28|18:45:11|team lunch|DoorDash|-83.2
2026-04-28|08:50:30|restaurant dinner|Olive Garden|84.6
2026-04-28|11:20:55|working for uber|Uber|200.0
2026-04-28|11:22:56|weekly stipend|Year Up United|200.0
2026-03-02|08:10:14|software subscription|Adobe|-59.99
2025-08-27|17:55:41|client payment|Apex Solutions|2100.0
2025-12-05|08:50:14|office rent|Landlord LLC|-1450.0
2026-01-29|14:07:28|refund received|Amazon|89.99
2026-03-07|12:35:20|monthly client retainer|Blue Horizon|3000.0
2026-03-14|10:20:50|gas expense|Chevron|-68.44
2026-02-11|11:36:52|phone bill|Verizon|-95.25
2026-04-27|18:22:47|consulting deposit|TechNova|1950.0
2026-04-19|16:10:05|freelance payment|DesignWorks LLC|875.0
2026-04-25|13:55:30|internet bill|Comcast|-92.15
2026-04-27|16:33:23|vendor reimbursement|Target|95.0
2026-04-27|16:33:57|product sale|Online Store|640.0
2026-04-28|08:45:46|marketing expense|Meta Ads|320.0
2026-04-03|09:15:22|coffee inventory|Costco|-145.67
2026-04-08|14:42:11|client invoice payment|NorthBay Media|2200.0
2026-04-12|11:30:45|office printer paper|Staples|-48.99
2026-04-28|20:59:28|Twitch payout|twitch|450.0
2026-04-28|20:59:40|freelance logo design|Horizon Creative|1200.0
2026-04-28|20:59:52|tax refund|IRS|875.50
2026-04-28|21:00:03|client invoice|Redwood Tech|2100.0
